Company name,Website,Description
Oakland University,https://oakland.edu/,"Oakland University harnesses the transformative power of education and research to inspire, challenge and elevate new and returning learners to maximize their golden potential amid a diverse and inclusive academic community in Greater Metro Detroit. A public doctoral research institution with more than 270 degree programs, OU provides best-in-class value, success, support and career immersion via personalized instruction, research opportunities, experiential educational offerings, internships and corporate partnerships."
"TomTom North America, Inc.",https://www.tomtom.com/company/,"If you ever found yourself in a car in the noughties, chances are you’ve used TomTom’s tech.

If you use ride-hailing apps, delivery services, in-vehicle navigation systems – anything that runs on maps or uses location data – chances are you’re still using TomTom’s tech.

The world runs on geolocation data. And the richer and fresher that data is, the further we push the limits of possibility. That’s why we’ve set our sights on something that’s never been done before. The TomTom Maps platform will be the world’s first open mapping ecosystem, collecting the world’s infinite stream of location data into one shared database.

Powered by our industry-spanning partners and a team of talented TomTom’ers, we’re building a map so sophisticated it will update alongside reality – opening up new avenues for innovation. 

It’s an ambitious goal, for sure. But we revolutionized geolocation technology once – we’re ready to do it again. Are you up for the challenge?"
3m,https://www.3m.com/,"3M touches virtually every part of your life. Our people and technology make the impossible, possible. Every day we apply our science to enhance people’s lives. This is 3M Science. Applied to Life.™"
DIVCON Controls,https://divconcontrols.com/,"At Divcon Controls, our mission is to provide our customers with cost effective solutions to meet their exact building automation needs. We strive to accomplish this through technology, innovation, and award winning personal service. Simply put, with Divcon Controls and Delta Controls, integration is simplified, customers are satisfied."
San Francisco Elevator Services Inc.,https://sfelev.com/,"San Francisco Elevator Services, Inc., is an independent, local elevator company providing outstanding service throughout the greater San Francisco Bay Area.  We provide quality service, repair, and modernization services for all elevator makes and models. We focus on your elevators, so you can focus on your building. 

San Francisco Elevator is part of Specialized Elevator Services, a group of responsive, local companies who are dedicated to delivering outstanding service, independent of the large elevator manufacturers. 

As a local company, our dispatchers and licensed technicians are familiar with the Bay area, and are able to offer highly responsive service to our customers. As part of the Specialized Elevator Services group, we offer the depth and resources to handle any challenge. 
 
For more information on our full range of elevator services, or to discuss your elevator requirements, please contact us today."
North Jersey Inspection Services,,
R Recruitment,,"Hire Your Next Candidate with R Recruitment Agency.
We have many years of experience staffing drivers and warehouse workers for some of the biggest companies in the UK. We manage a pool of hundreds potential candidates, so that no Client is left unstaffed."
Consume 4 Less,,
SK and Company Accountants Ltd.,,"SK & Co is a Registered Accounting Services firms, serving local and international clients. We are Asian Alliance Member of Dezan Shira with expertise area in Tax, Accounting Service and Business Advisory Services.

SK & Co has been appointed to our national and international clients which doing business in Indonesia since 2009.

SK & Co was established on 2009 at Jakarta and founded by Ivan Kanel.

We believed that building responsive and responsible relationship with our clients will help our client growing faster and stronger from the ground up.

With the team consist of 4 partners and more than 40 professional staff; simply we deliver our service within your needs. We are well prepared to assist you from ground level to achieve the highest success, as you are start-up or an established enterprise looking to take the next step up.

Our goal at SK & Co is to provide effective solutions designed to boost your business, be it small or a large organization. 

Our consultants design solutions tailored specifically to the needs of your business in order to ensure you achieve your dreams of success."
Themathsurgery,http://themathsurgery.com/,"We are passionate about delivering high quality, engaging sessions that build confidence and skill. Our program can be implemented through online tutorials and face to face tuition."
Opulent Motors,https://www.opulentmotors.uk/,"Hi, First and foremost, thank you for taking the time to read our humble story and motivations for entering into the motor trade.

Having experienced the motor trade first-hand for the last 5 years in an established business we identified some fantastic processes and also identified points in which we thought we could be better.

So, in a nutshell, we've made the step to do just that!

The 3 major factors we aim to deliver as a dealership are: -

Excellence in customer needs, requirements and overall, experience.
To purchase quality, vetted and HPI checked cars that meet our standards.
To deliver both of the above at a price which both fair for our customers and allows the growth of the business.
Thank you again! and I hope you enjoy your journey with Opulent Motors, Team Opulent."
Samson Security,https://www.samsonsecurity.co.uk/,"At Samson Security Fire & Facilities we provide highly advanced fully integrated security 24/7, 365 days a year. As a national company located within Merseyside, we offer a varied range of services without outsourcing.
"
JC PAVING & GROUNDWORKS,,
